127.0.0.1 - - [22/Feb/2021:13:31:40 +0900] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Feb/2021:13:31:41 +0900] "GET /day06/currentPosition.html HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [22/Feb/2021:13:31:58 +0900] "GET /day06/currentPosition.html HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [22/Feb/2021:13:34:45 +0900] "GET /day06/currentPosition.html HTTP/1.1" 200 1153
0:0:0:0:0:0:0:1 - - [22/Feb/2021:13:34:45 +0900] "GET /day06/currentPosition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:13:34:46 +0900] "GET /day06/currentPosition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:13:34:46 +0900] "GET /day06/currentPosition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:13:34:54 +0900] "GET /day06/currentPosition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:13:34:55 +0900] "GET /day06/currentPosition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:13:34:55 +0900] "GET /day06/currentPosition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:13:34:56 +0900] "GET /day06/currentPosition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:13:34:56 +0900] "GET /day06/currentPosition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:13:34:56 +0900] "GET /day06/currentPosition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:13:34:56 +0900] "GET /day06/currentPosition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:13:34:56 +0900] "GET /day06/currentPosition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:13:34:57 +0900] "GET /day06/currentPosition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:13:34:57 +0900] "GET /day06/currentPosition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:13:34:57 +0900] "GET /day06/currentPosition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:13:35:04 +0900] "GET /day06/currentPosition.html HTTP/1.1" 200 1153
0:0:0:0:0:0:0:1 - - [22/Feb/2021:13:35:04 +0900] "GET /day06/currentPosition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:13:38:03 +0900] "GET /day06/currentPosition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:13:42:19 +0900] "GET /day06/currentPosition.html HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [22/Feb/2021:13:44:00 +0900] "GET /day06/currentPosition.html HTTP/1.1" 200 1675
